"Time Domain Body Activity  Average-X"	"Time Domain Body Activity  Average-Y"	"Time Domain Body Activity  Average-Z"	"Time Domain Gravity Activity  Average-X"	"Time Domain Gravity Activity  Average-Y"	"Time Domain Gravity Activity  Average-Z"	"Time Domain Body Activity Jerk Average-X"	"Time Domain Body Activity Jerk Average-Y"	"Time Domain Body Activity Jerk Average-Z"	"Time Domain Body Activity Mag Average"	"Time Domain Gravity Activity Mag Average"	"Time Domain Body Activity JerkMag Average"	"Frequency Domain Body Activity  Average-X"	"Frequency Domain Body Activity  Average-Y"	"Frequency Domain Body Activity  Average-Z"	"Frequency Domain Body Activity Jerk Average-X"	"Frequency Domain Body Activity Jerk Average-Y"	"Frequency Domain Body Activity Jerk Average-Z"	"Frequency Domain Body Activity Mag Average"	"Frequency Domain BodyBody Activity JerkMag Average"
0.27688027	-0.012721805	-0.10343832	0.96920266	-0.15236144	0.081258077	0.07139686	0.016842441	0.0010303821	-0.98804033	-0.98804033	-0.98441139	-0.99288633	-0.970608	-0.98367242	-0.99098572	-0.97345576	-0.9817322	-0.98569656	-0.98476304
0.27622817	-0.021441302	-0.10820234	0.96925328	-0.15006376	0.082931213	0.076084514	-0.0023115579	-0.0076736296	-0.99477563	-0.99477563	-0.99279492	-0.99823935	-0.98491607	-0.9916394	-0.99819157	-0.98967537	-0.98895116	-0.9951378	-0.99472936
0.278457	-0.020414761	-0.11273172	0.9689963	-0.1523621	0.083150803	0.077102002	0.017027167	-0.00098523943	-0.99532501	-0.99532501	-0.99486033	-0.99937732	-0.98715877	-0.99581923	-0.99953805	-0.98974889	-0.99267475	-0.99595367	-0.99681887
0.27717497	-0.014712802	-0.10675647	0.96904398	-0.15414125	0.081819604	0.07761238	0.019489223	0.015207683	-0.99670013	-0.99670013	-0.99536254	-0.99881956	-0.98880768	-0.99182892	-0.99749097	-0.9920277	-0.99290396	-0.99775726	-0.99553335
0.29794572	0.027093908	-0.061668123	0.94489486	-0.29262334	-0.021435523	0.066656163	-0.068367084	-0.033607601	-0.90458778	-0.90458778	-0.99047837	-0.98933967	-0.88341385	-0.95494861	-0.98924824	-0.98354471	-0.98933823	-0.90383853	-0.98902608
0.27920345	-0.023020143	-0.12208028	0.95201342	-0.26311695	-0.0035761635	0.074659313	-0.0012810862	-0.026636672	-0.98446381	-0.98446381	-0.99628275	-0.9956289	-0.98317075	-0.98412856	-0.99478908	-0.99470375	-0.99357321	-0.99136765	-0.99681501
0.27903836	-0.014800378	-0.11684896	0.95272437	-0.26509148	-0.0077089922	0.076711586	0.012251865	0.010057325	-0.98904307	-0.98904307	-0.99552049	-0.99619504	-0.98725851	-0.98768709	-0.99494893	-0.99233802	-0.99355517	-0.99273157	-0.99885264
0.2801349	-0.013916951	-0.10637048	0.95306401	-0.26471825	-0.011556695	0.07525447	0.015419535	0.016625946	-0.99507155	-0.99507155	-0.99564686	-0.99683409	-0.98804239	-0.98993731	-0.99530791	-0.99136358	-0.99479031	-0.99343349	-0.99635004
0.27773106	-0.018210718	-0.10918803	0.95360569	-0.26305774	-0.011094388	0.075021356	0.0042103143	-0.0051048322	-0.99872681	-0.99872681	-0.99585704	-0.99680119	-0.99094436	-0.99596151	-0.99575245	-0.9924115	-0.99550105	-0.99704386	-0.99674065
0.27556818	-0.016979698	-0.11142918	0.95359464	-0.26348997	-0.011425851	0.076113384	0.01842771	-0.0060482131	-0.99797237	-0.99797237	-0.99645316	-0.99720497	-0.99029766	-0.99669495	-0.9966077	-0.9930446	-0.99488302	-0.99989278	-0.99947946
0.27756171	-0.014318487	-0.10787724	0.95313551	-0.2634369	-0.012458678	0.075342269	0.018055718	-0.0049718288	-0.99844133	-0.99844133	-0.99547632	-0.99719829	-0.99261084	-0.99417669	-0.99612215	-0.99357857	-0.99215543	-0.99725253	-0.99832359
0.27715238	-0.017983328	-0.10660117	0.95318325	-0.26189643	-0.012015606	0.073413536	0.0045245992	-0.005894406	-0.997891	-0.997891	-0.99306888	-0.99657474	-0.98697802	-0.99542528	-0.9958259	-0.98689999	-0.99113965	-0.99671069	-0.99449599
0.2756763	-0.021264234	-0.11080122	0.95309294	-0.26245862	-0.011512171	0.076943687	0.005482978	0.0016020823	-0.99589346	-0.99589346	-0.99222923	-0.9975464	-0.9864129	-0.99403597	-0.99630977	-0.98291315	-0.99221625	-0.99596298	-0.99258499
0.2792002	-0.017714427	-0.10916135	0.95273161	-0.26500697	-0.012703514	0.078642693	0.016503342	-4.8515198e-05	-0.99521534	-0.99521534	-0.99337454	-0.99750264	-0.98498699	-0.98999238	-0.9965272	-0.98644595	-0.99045005	-0.99508421	-0.99429146
0.28171549	-0.011910678	-0.10287513	0.9532188	-0.2650432	-0.013126421	0.074924981	0.0099539071	0.00068788567	-0.99419344	-0.99419344	-0.99333286	-0.99865677	-0.98672372	-0.99260252	-0.99694736	-0.98576146	-0.9908238	-0.99427863	-0.99444815
0.27899267	-0.014531029	-0.10659617	0.95419361	-0.26194319	-0.011180786	0.074219489	0.0044872377	0.0069293456	-0.9957494	-0.9957494	-0.99251624	-0.99747202	-0.9852728	-0.99227953	-0.99654528	-0.98709855	-0.9903284	-0.99363919	-0.99439824
0.27573444	-0.01801884	-0.10677578	0.95458893	-0.26049928	-0.0099594009	0.073460968	0.01837229	0.001436324	-0.9985525	-0.9985525	-0.99338553	-0.99898187	-0.98994616	-0.99251428	-0.99736314	-0.98910225	-0.98919841	-0.99638609	-0.99322754
0.14450396	0.18926326	0.062769317	0.87409866	0.042479149	0.33309449	0.13805762	-0.34777099	-0.33527233	-0.5543692	-0.5543692	-0.97526798	-0.92128754	-0.43277861	-0.61401743	-0.98209043	-0.96914184	-0.9815657	-0.44662992	-0.97565857
0.28725164	-0.037455064	-0.14597431	0.83566368	0.16067501	0.39982173	0.089548399	-0.034317974	0.0030597368	-0.93459377	-0.93459377	-0.99288968	-0.98612352	-0.9319656	-0.97975316	-0.99252438	-0.98909638	-0.99178965	-0.95362658	-0.99476974
0.2799976	-0.019484036	-0.10572355	0.83695957	0.15187734	0.38646765	0.071215441	0.044244119	0.020358157	-0.97699498	-0.97699498	-0.99423479	-0.99293691	-0.95749137	-0.98337133	-0.99433646	-0.99333255	-0.99017788	-0.97670695	-0.99398527
0.22184689	0.034107675	-0.12361242	0.83878762	0.15070183	0.38345181	-0.013591322	0.12068585	0.22870415	-0.81575864	-0.81575864	-0.91387886	-0.80764453	-0.76550533	-0.67628885	-0.88214836	-0.85881998	-0.90403706	-0.61264851	-0.86032147
-0.041701306	0.17510248	0.025551778	0.81080506	0.19559534	0.38713197	0.050456562	0.090830365	0.0053317431	-0.50739668	-0.50739668	-0.86678801	-0.81335631	-0.70656744	-0.70433301	-0.8667756	-0.84357581	-0.89207213	-0.68219367	-0.85131788
0.013903671	0.15329608	0.016242945	0.70308608	0.31406786	0.43977403	0.17843808	-0.11966443	-0.25914034	-0.62102725	-0.62102725	-0.94302661	-0.85010909	-0.76166325	-0.72770498	-0.92109636	-0.93762977	-0.94925418	-0.69185852	-0.91377977
0.30368927	-0.0042428053	-0.15085028	0.6182581	0.40950272	0.4812985	0.098998778	-0.074612565	-0.0073366086	-0.91595384	-0.91595384	-0.99107291	-0.9677791	-0.87902803	-0.98069583	-0.98835635	-0.98103161	-0.99519463	-0.90549594	-0.99033636
0.29075969	-0.02403476	-0.11673889	0.6220655	0.41986657	0.46862799	0.062975489	0.03415889	0.033170611	-0.97480504	-0.97480504	-0.99684513	-0.98339322	-0.97465043	-0.97488987	-0.99375401	-0.99063849	-0.99841352	-0.96861566	-0.99554762
0.27090823	-0.014412968	-0.10652245	0.62745102	0.41503721	0.46423103	0.075591498	0.011694892	-0.0072211967	-0.99523836	-0.99523836	-0.99763638	-0.99597643	-0.99340829	-0.99489744	-0.99732906	-0.99224316	-0.99601381	-0.99683806	-0.99778629
0.2795534	-0.017001147	-0.11051668	0.62532313	0.41648854	0.46494774	0.072773826	0.0035293806	-0.00060033363	-0.99906744	-0.99906744	-0.99661376	-0.99612732	-0.99272576	-0.99818451	-0.99670618	-0.99155288	-0.99688883	-0.99835502	-0.99779214
0.27635864	-0.016138088	-0.10803259	0.62577398	0.4168573	0.46439573	0.076218027	0.0094053857	-0.0080907158	-0.9980118	-0.9980118	-0.99594417	-0.99529816	-0.99169066	-0.99619448	-0.99502795	-0.99064115	-0.99663253	-0.99642627	-0.99760323
0.23715407	0.0078251224	-0.12283791	0.89093772	0.11359108	0.33032214	0.075301588	0.082650327	-0.0089599647	-0.92623334	-0.92623334	-0.98365142	-0.98333264	-0.89914658	-0.97708524	-0.98365156	-0.96959332	-0.98323096	-0.9452631	-0.9795682
0.2731084	0.0065181116	-0.10947182	0.87653997	0.12558056	0.32520586	0.084520112	-0.018946735	0.0076682065	-0.96816289	-0.96816289	-0.9923627	-0.98981469	-0.95409312	-0.99134764	-0.99075219	-0.99066458	-0.99097901	-0.96858175	-0.99263806
0.28150539	-0.018434859	-0.11139287	0.87482213	0.14006721	0.32441057	0.082081964	-0.0058534975	0.0032024153	-0.99295106	-0.99295106	-0.9934185	-0.99443506	-0.9848406	-0.99008845	-0.99449871	-0.99273746	-0.99029847	-0.99597166	-0.99454495
0.27843225	-0.019654302	-0.10797029	0.8764618	0.1392361	0.32357956	0.07268307	0.019739112	0.004014346	-0.9934379	-0.9934379	-0.99298342	-0.99263436	-0.98576419	-0.99157404	-0.9929579	-0.99115707	-0.99096366	-0.9936202	-0.9923338
0.2733796	-0.0099401064	-0.10839283	0.87645385	0.13843401	0.3233988	0.072130253	0.019920529	-0.0014860567	-0.99091407	-0.99091407	-0.99379982	-0.9941993	-0.98765983	-0.99277646	-0.99360419	-0.99067982	-0.9917045	-0.99313905	-0.99341205
0.27905615	-0.01626097	-0.11281565	0.87538094	0.14222283	0.32351271	0.076807626	-0.0042927307	-0.0069884353	-0.98754731	-0.98754731	-0.99413667	-0.99498345	-0.9811016	-0.9906193	-0.9949542	-0.99074368	-0.99091536	-0.9933422	-0.99377944
0.2785991	-0.019910142	-0.1111806	0.87579788	0.14258451	0.32194771	0.077934405	0.01488802	0.012086099	-0.99012264	-0.99012264	-0.99493458	-0.99404402	-0.98542913	-0.99060927	-0.99322057	-0.98988184	-0.99425932	-0.99472515	-0.99548811
0.27328142	-0.011127209	-0.10634926	0.87599536	0.14162959	0.3204761	0.071543556	0.019647298	-0.0037668634	-0.99302412	-0.99302412	-0.99568683	-0.99461052	-0.98909018	-0.99548767	-0.99312713	-0.99334792	-0.99681868	-0.99812925	-0.99752566
0.27853812	-0.016173432	-0.10970656	0.87478155	0.14485798	0.32053935	0.074515662	0.0092694454	-0.010291722	-0.99414636	-0.99414636	-0.99431393	-0.99558307	-0.98676236	-0.99486711	-0.99398429	-0.98974683	-0.99521838	-0.99760147	-0.99779274
0.27746121	-0.017491016	-0.10635945	0.87474639	0.14560336	0.32038708	0.07818778	0.0090189325	0.012872972	-0.99354892	-0.99354892	-0.99348023	-0.99492259	-0.98750126	-0.99196132	-0.99326968	-0.98978356	-0.99254848	-0.99551766	-0.9965707
0.27394057	-0.013147584	-0.10543517	0.8742316	0.14572717	0.32162961	0.078228258	0.0054201733	0.0013550663	-0.99264098	-0.99264098	-0.9950409	-0.99475289	-0.99135022	-0.99126636	-0.9937044	-0.99379154	-0.99288764	-0.99490902	-0.99412111
0.27930326	-0.020521383	-0.11323643	0.87324201	0.14758583	0.32233576	0.073647802	0.0083841697	-0.0050818355	-0.99205145	-0.99205145	-0.9959885	-0.99527834	-0.98862922	-0.99509609	-0.99410158	-0.99230792	-0.99450103	-0.99634885	-0.99602589
0.2790872	-0.019083242	-0.10588882	0.87410872	0.1456773	0.32087334	0.06886822	0.020224021	0.0069050846	-0.99147471	-0.99147471	-0.99400136	-0.99296524	-0.98424139	-0.99532656	-0.99257629	-0.99134531	-0.99359384	-0.99593391	-0.99573563
0.40347433	-0.015074404	-0.11816739	-0.25504375	0.77465873	0.58977655	0.023446864	0.00081333847	0.052811325	-0.90512291	-0.90512291	-0.96035654	-0.92631396	-0.88694847	-0.92879208	-0.94917576	-0.89800411	-0.9729599	-0.87510957	-0.91028972
0.27837321	-0.020560964	-0.096824565	-0.21014776	0.7739047	0.58511978	0.067178002	0.015637893	-0.016186186	-0.98744609	-0.98744609	-0.99274198	-0.98687443	-0.98900774	-0.98337917	-0.99288837	-0.99011125	-0.99079124	-0.98218097	-0.99251304
0.27655526	-0.01786855	-0.10762126	-0.20876483	0.77171208	0.58994727	0.082498475	0.0083569472	0.00023418251	-0.99798763	-0.99798763	-0.99513057	-0.99361477	-0.99425887	-0.99519692	-0.99448499	-0.99207153	-0.99217342	-0.99506057	-0.99450594
0.27957476	-0.017275722	-0.10948053	-0.20956406	0.77109662	0.59010467	0.073995503	0.01378212	-0.0073714967	-0.99950449	-0.99950449	-0.99665137	-0.99574989	-0.99345251	-0.99726751	-0.99473789	-0.99311399	-0.99445967	-0.99839081	-0.99620832
0.27652699	-0.0168191	-0.10798311	-0.20874807	0.77103706	0.58941397	0.077122435	0.011380407	0.0034761282	-0.99905773	-0.99905773	-0.99626463	-0.99651117	-0.99506101	-0.99473614	-0.99530794	-0.99405544	-0.99379202	-0.99773322	-0.99699634
0.27812334	-0.017146303	-0.10801374	-0.20871697	0.77129107	0.58933471	0.075608951	0.012335201	0.0013993239	-0.99742945	-0.99742945	-0.99351031	-0.99470159	-0.99566666	-0.99156425	-0.99303347	-0.99262297	-0.990766	-0.99485336	-0.99297665
0.27800654	-0.01780317	-0.10896485	-0.20863346	0.77135108	0.58963487	0.075657984	0.0050748365	-0.0012262263	-0.99741966	-0.99741966	-0.99320615	-0.99403729	-0.99237655	-0.99333595	-0.99250045	-0.9898414	-0.99007664	-0.99603683	-0.99315112
0.2802064	-0.01839626	-0.10748863	-0.20856027	0.7707487	0.59001704	0.073531787	0.010824142	-0.0019587455	-0.99728212	-0.99728212	-0.9949283	-0.99569054	-0.99259551	-0.99203037	-0.99512491	-0.99247489	-0.99221261	-0.99390379	-0.99399846
0.28182774	-0.018626474	-0.10527824	-0.20760682	0.76992271	0.5904504	0.073964485	0.014924539	-0.0019185204	-0.9957705	-0.9957705	-0.9932731	-0.99529395	-0.98974733	-0.99107413	-0.99453409	-0.98683269	-0.99182548	-0.99334705	-0.99422415
0.27672941	-0.017209548	-0.10563797	-0.20636268	0.7692959	0.59130586	0.078027424	0.0085359751	-0.0052980182	-0.9958683	-0.9958683	-0.99125179	-0.99307421	-0.98879666	-0.99237312	-0.99174989	-0.98657491	-0.9907817	-0.99380693	-0.99574837
0.27588359	-0.016150309	-0.10882921	-0.20649916	0.7691518	0.59214322	0.079217587	0.013871292	0.0020966176	-0.99758819	-0.99758819	-0.99333114	-0.99480416	-0.99380373	-0.99248491	-0.99299983	-0.99288781	-0.99038501	-0.99629652	-0.99630902
0.27783021	-0.017684054	-0.1057035	-0.20702615	0.76962832	0.59219232	0.074492793	0.015421882	0.0049166674	-0.99786725	-0.99786725	-0.99407848	-0.9951802	-0.99388245	-0.99360666	-0.99308043	-0.9942709	-0.990698	-0.9981129	-0.9958311
0.27937115	-0.017644953	-0.10818111	-0.20699211	0.76946735	0.59291655	0.072594696	0.010275519	-0.002639534	-0.9973188	-0.9973188	-0.99366314	-0.99354586	-0.9939895	-0.99425916	-0.99092769	-0.99366968	-0.99164211	-0.99831041	-0.99276118
0.019016151	-0.0070373566	-0.028333356	0.044743889	0.75845367	0.50493607	0.33481779	-0.087342242	-0.24078322	-0.72162699	-0.72162699	-0.9219028	-0.66860442	-0.78963798	-0.73499812	-0.91582762	-0.85963	-0.91560292	-0.47786351	-0.86488401
0.3402085	-0.036452984	-0.10625819	-0.047727828	0.76866913	0.54098815	0.071098045	0.026827472	0.040107846	-0.94290262	-0.94290262	-0.98397266	-0.97498679	-0.95410178	-0.97750397	-0.98210907	-0.98237072	-0.97633568	-0.96740935	-0.98214074
-0.16642569	-0.11935251	0.13303497	-0.041699844	0.75554154	0.54742535	-0.043507411	-0.053766392	0.19503419	-0.51842779	-0.51842779	-0.85561065	-0.74175973	-0.37047418	-0.54169783	-0.87009876	-0.66911521	-0.81513119	-0.40526174	-0.72619041
-0.23910256	-0.096904391	0.14803461	-0.18770377	0.70262213	0.63722785	0.11314268	0.074806311	-0.10382637	-0.36210824	-0.36210824	-0.82366323	-0.78254802	-0.35302765	-0.58238308	-0.86668292	-0.65948137	-0.80855043	-0.50202182	-0.72546081
0.34696848	0.069408647	-0.20082552	-0.35145953	0.65518574	0.73110976	0.20887536	0.11372797	-0.22303817	-0.67636425	-0.67636425	-0.94306581	-0.82682765	-0.80454766	-0.71690557	-0.96309193	-0.91342804	-0.94547883	-0.79232273	-0.9445135
0.30383319	0.1036482	-0.24533103	-0.33939193	0.6970974	0.70209116	-0.048777316	0.14548517	0.10475315	-0.63496006	-0.63496006	-0.85112159	-0.77764042	-0.65641474	-0.74389472	-0.84128694	-0.77748827	-0.86899322	-0.71639747	-0.83435446
-0.36120533	-0.26812111	0.17689637	-0.36048	0.71643717	0.6629796	0.020624221	-0.26870572	0.23693914	-0.062945893	-0.062945893	-0.56428225	-0.62167946	0.26319965	-0.25634415	-0.63698626	-0.21058319	-0.57076123	-0.091821255	-0.35848249
-0.27706634	-0.68409659	0.34665772	-0.57349604	0.52510468	0.77976328	0.17061123	-0.3848919	-0.028640525	0.29483896	0.29483896	-0.62540929	-0.60838922	0.029028661	-0.31756454	-0.65892981	-0.24437788	-0.5777608	-0.220785	-0.33175609
0.2574765	-0.41386534	0.017374188	-0.74182101	0.16014065	0.94954331	0.11161264	0.3056408	-0.22123434	-0.33101576	-0.33101576	-0.92047767	-0.90611827	-0.38761604	-0.72773664	-0.90822047	-0.8793609	-0.89344593	-0.49856777	-0.87188606
0.27683965	-0.02714766	-0.1231748	-0.75672502	-0.05899586	0.9993499	0.06719499	0.22425664	-0.00032738316	-0.84935162	-0.84935162	-0.97568945	-0.97590839	-0.68463497	-0.9819809	-0.97465148	-0.96828834	-0.98784889	-0.78142895	-0.97823155
0.26865095	0.016430154	-0.10372571	-0.75607738	-0.068420491	0.99429673	0.077417432	-0.037359808	0.0074256146	-0.95078066	-0.95078066	-0.98420696	-0.98176325	-0.93234665	-0.98938688	-0.97598056	-0.97793988	-0.99128063	-0.94537225	-0.98065971
0.28526329	-0.008888811	-0.10374518	-0.75875146	-0.045998244	0.9957729	0.080899203	-0.00041533963	-0.017179454	-0.98981335	-0.98981335	-0.99420976	-0.99356756	-0.98321534	-0.99346289	-0.99267002	-0.98906796	-0.99440684	-0.99186108	-0.99656785
0.28347732	-0.0075244582	-0.10928717	-0.75643925	-0.040042686	0.99732192	0.067279115	0.0083881751	0.00059152697	-0.99056014	-0.99056014	-0.99250833	-0.99230658	-0.98817303	-0.9939374	-0.99132506	-0.99219263	-0.99003854	-0.99330024	-0.99527734
0.27302712	-0.010196757	-0.11115339	-0.75507694	-0.034589346	0.99683535	0.071901676	0.01871745	0.0076429677	-0.9923007	-0.9923007	-0.99000829	-0.99141608	-0.98845507	-0.9933639	-0.98867465	-0.98980859	-0.99029168	-0.99445429	-0.99391936
0.28202157	-0.037696218	-0.1348973	0.94530277	-0.24594143	-0.032164781	-0.15648565	-0.14285296	-0.11307869	-0.22455962	-0.22455962	-0.28942433	-0.26090491	-0.1225668	-0.33121596	-0.21046447	-0.26352811	-0.53570907	-0.16681083	-0.15404481
0.25584075	-0.064550029	-0.095186339	0.941113	-0.25203524	-0.032883452	-0.2075541	0.35784284	-0.45240093	-0.12650269	-0.12650269	-0.13850122	-0.15111525	-0.029049967	-0.25730713	-0.17833844	-0.12083878	-0.49894754	-0.079277624	-0.17844557
0.25486723	0.0038147234	-0.12365809	0.9463639	-0.2642781	-0.025575066	0.20160447	0.41708229	0.13907817	-0.16010001	-0.16010001	-0.19435478	-0.23040737	0.025426852	-0.37731132	-0.19265346	-0.10961071	-0.52564781	-0.15631258	-0.14943801
0.34337048	-0.014446221	-0.16737697	0.95244515	-0.25983791	-0.026131065	0.33608453	-0.46414358	-0.0050257445	-0.07351308	-0.07351308	-0.12948008	-0.15132288	0.1952672	-0.32123865	-0.18341895	-0.025971976	-0.48742267	-0.10437689	-0.13222215
0.27623973	-0.029638413	-0.14261631	0.94712514	-0.25710034	-0.028422611	-0.23562339	-0.11177723	0.1726546	-0.04949205	-0.04949205	-0.1598686	-0.22580363	0.11028848	-0.20488317	-0.28524022	-0.011101847	-0.42589499	-0.12319532	-0.11608747
0.25546822	0.021219063	-0.048949431	0.94574875	-0.25477781	-0.026521446	0.11592991	0.23466731	0.36150518	-0.077394435	-0.077394435	-0.2060086	-0.29042868	0.057822283	-0.24835735	-0.29804684	-0.051726769	-0.43348651	-0.20002501	-0.15902098
0.32113983	0.0015817951	-0.043553705	0.95021213	-0.24482976	-0.023627905	0.30483318	-0.094993043	-0.36239501	-0.09549311	-0.09549311	-0.1466642	-0.16356217	-0.041627698	-0.25329234	-0.16775317	-0.1498672	-0.45649574	-0.14847221	-0.13543936
0.2346659	-0.049547719	-0.11175723	0.94913033	-0.23690505	-0.022201127	-0.2091684	0.17500548	-0.42042207	-0.11344328	-0.11344328	-0.097063034	-0.18777314	-0.0046568174	-0.2686715	-0.17170095	-0.12720584	-0.4353911	-0.11082694	-0.088076196
0.31263404	-0.026367749	-0.13095121	0.94691727	-0.26205559	-0.020235796	-0.094394668	0.013017354	-0.30579489	-0.1696296	-0.1696296	-0.28756092	-0.2749068	-0.062349562	-0.31909457	-0.32488554	-0.15821185	-0.56272771	-0.25871717	-0.21590346
0.2769154	-0.03548621	-0.080569176	0.94686993	-0.25580058	-0.035627962	-0.17405369	-0.044309143	-0.31650894	-0.10747234	-0.10747234	-0.16292627	-0.23624459	0.10852771	-0.2746545	-0.23747019	-0.039713237	-0.45371719	-0.16322391	-0.083012895
0.20530739	-0.0085082782	-0.11964696	0.9454189	-0.25466811	-0.032057504	0.314329	-0.037260786	-0.10858857	-0.12980293	-0.12980293	-0.2019714	-0.20511072	-0.042937314	-0.33885732	-0.23343978	-0.16820535	-0.47693821	-0.22227743	-0.13711251
0.30699599	-0.01378698	-0.18016197	0.94193674	-0.25575938	-0.026832917	0.46707036	-0.37921519	-0.12680689	-0.10480876	-0.10480876	-0.15146378	-0.1707477	0.01859811	-0.35554991	-0.17595284	-0.13843892	-0.49953681	-0.15167709	-0.11944835
0.28151325	-0.040800898	-0.13467496	0.93746757	-0.25840003	-0.034867064	-0.23332563	0.026585333	0.34066157	-0.063225767	-0.063225767	-0.12198932	-0.19711314	-0.058279826	-0.25261291	-0.2305614	-0.12439794	-0.45758603	-0.15097581	-0.1525068
0.30388542	0.0027680377	-0.038613087	0.93719527	-0.26621211	-0.03442325	0.019032962	0.074249122	0.29578635	-0.017610633	-0.017610633	-0.10161814	-0.23666293	0.095769616	-0.16416393	-0.24427471	0.013201164	-0.39531278	-0.075130477	-0.1027928
0.3541929	-0.012560935	-0.058680943	0.94782306	-0.265399	-0.030585939	0.16511669	-0.25047435	-0.26253378	-0.035592505	-0.035592505	-0.051890081	-0.21376697	0.1882365	-0.22944501	-0.19421195	0.093233503	-0.3808327	-0.0591392	-0.037076583
0.22229785	-0.018659683	-0.11718642	0.95736507	-0.25851158	-0.030633221	-0.24161075	0.44647153	-0.09482976	-0.062178356	-0.062178356	-0.055646508	-0.1400821	0.18180734	-0.30269727	-0.13087614	0.033687393	-0.42484368	-0.12987657	-0.033384888
0.21448125	0.0099387454	-0.123073	0.95473147	-0.25421267	-0.027618421	0.4079873	0.36782479	-0.12301617	-0.072821245	-0.072821245	-0.086796765	-0.16044156	0.11766809	-0.29040059	-0.11761896	-0.089855109	-0.438019	-0.11533525	-0.036035559
0.32731657	-0.022255821	-0.1491439	0.94502756	-0.25147834	-0.024245992	0.39862391	-0.34500052	-0.16269563	-0.089840429	-0.089840429	-0.11413474	-0.1459075	0.11655763	-0.26081978	-0.16546798	-0.10585412	-0.45222392	-0.11492539	-0.11731484
0.3490591	-0.022003784	-0.15005217	0.9433439	-0.24400324	-0.020724365	-0.16855486	0.011977358	0.086308398	-0.11313628	-0.11313628	-0.098014076	-0.21723827	0.15986671	-0.29537396	-0.1965416	0.014085307	-0.47215737	-0.14382747	-0.13165627
